Title,Author,amz_rating,amz_reviews,gr_rating,gr_reviews,price,Year,Genre,genre_1,num_pages
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,4.07,34057,9,2012,Non Fiction,Nonfiction,370
The Last Lecture,Randy Pausch,4.7,4028,4.27,16996,9,2009,Non Fiction,Nonfiction,217
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,3.84,27481,11,2015,Non Fiction,Nonfiction,213
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,3.84,27481,11,2016,Non Fiction,Nonfiction,213
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,3.84,27481,11,2017,Non Fiction,Nonfiction,213
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,3.84,27481,11,2019,Non Fiction,Nonfiction,213
The Litigators,John Grisham,4.4,6222,3.81,5985,18,2011,Fiction,Fiction,
The Lost Symbol,Dan Brown,4.2,8747,3.71,26896,19,2009,Fiction,Fiction,509
The Love Dare,Stephen Kendrick,4.8,1655,4.39,569,13,2009,Non Fiction,Christian,224
The Magnolia Story,Chip Gaines,4.9,7861,4.19,6684,5,2016,Non Fiction,Nonfiction,208
The Martian,Andy Weir,4.7,39459,4.4,71850,9,2015,Fiction,Science Fiction,369
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,4.1,16345,21,2012,Non Fiction,Nonfiction,375
The Racketeer,John Grisham,4.3,14493,3.82,7727,18,2012,Fiction,Fiction,340
The Silent Patient,Alex Michaelides,4.5,27536,4.09,41572,14,2019,Fiction,Mystery,325
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,3.95,30874,15,2017,Non Fiction,Nonfiction,224
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,3.95,30874,15,2018,Non Fiction,Nonfiction,224
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,3.95,30874,15,2019,Non Fiction,Nonfiction,224
The Sun and Her Flowers,Rupi Kaur,4.7,5487,4.16,9897,9,2017,Non Fiction,Poetry,256
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,3.97,46840,6,2009,Fiction,Fiction,500
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,3.97,13234,9,2009,Non Fiction,Nonfiction,301
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2013,Fiction,Childrens-Picture Books,26
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2014,Fiction,Childrens-Picture Books,26
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2015,Fiction,Childrens-Picture Books,26
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2016,Fiction,Childrens-Picture Books,26
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2017,Fiction,Childrens-Picture Books,26
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2018,Fiction,Childrens-Picture Books,26
The Very Hungry Caterpillar,Eric Carle,4.9,19546,4.3,7734,5,2019,Fiction,Childrens-Picture Books,26
The Wright Brothers,David McCullough,4.7,6169,4.15,5956,16,2015,Non Fiction,History,320
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,4.16,10396,19,2011,Non Fiction,Nonfiction,499
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,4.16,10396,19,2012,Non Fiction,Nonfiction,499
Thirteen Reasons Why,Jay Asher,4.5,7932,3.93,51447,9,2017,Fiction,Young Adult,352
To Kill a Mockingbird,Harper Lee,4.8,26234,4.28,88833,0,2013,Fiction,Classics,324
To Kill a Mockingbird,Harper Lee,4.8,26234,4.28,88833,0,2014,Fiction,Classics,324
To Kill a Mockingbird,Harper Lee,4.8,26234,4.28,88833,0,2015,Fiction,Classics,324
To Kill a Mockingbird,Harper Lee,4.8,26234,4.28,88833,0,2016,Fiction,Classics,324
To Kill a Mockingbird,Harper Lee,4.8,26234,4.28,88833,7,2019,Fiction,Classics,324
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,4.14,1535,21,2017,Non Fiction,Business,707
Watchmen,Alan Moore,4.8,3829,4.36,13715,42,2009,Fiction,Sequential Art-Graphic Novels,416
What Happened,Hillary Rodham Clinton,4.6,5492,3.95,6010,18,2017,Non Fiction,Nonfiction,512
When Breath Becomes Air,Paul Kalanithi,4.8,13779,4.36,31823,14,2016,Non Fiction,Nonfiction,208
Where the Crawdads Sing,Delia Owens,4.8,87841,4.48,74632,15,2019,Fiction,Fiction,384
Where the Wild Things Are,Maurice Sendak,4.8,9967,4.22,11571,13,2009,Fiction,Childrens,37
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,4.01,39881,18,2012,Non Fiction,Nonfiction,315
Wonder,R. J. Palacio,4.8,21625,4.44,64971,9,2013,Fiction,Young Adult,410
Wonder,R. J. Palacio,4.8,21625,4.44,64971,9,2014,Fiction,Young Adult,410
Wonder,R. J. Palacio,4.8,21625,4.44,64971,9,2015,Fiction,Young Adult,410
Wonder,R. J. Palacio,4.8,21625,4.44,64971,9,2016,Fiction,Young Adult,410
Wonder,R. J. Palacio,4.8,21625,4.44,64971,9,2017,Fiction,Young Adult,410
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,3.95,9234,8,2016,Non Fiction,Self Help,244
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,3.95,9234,8,2017,Non Fiction,Self Help,244
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,3.95,9234,8,2018,Non Fiction,Self Help,244
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,3.95,9234,8,2019,Non Fiction,Self Help,244
